German,English
der,the (masculine definite article)
die,the (feminine/plural definite article)
das,the (neuter definite article); that
und,and
sein,to be; his/its
ein,a; one (indefinite article)
zu,to; at
haben,to have
ich,I
werden,to become; will
sie,she; they; you (formal)
von,from; of
nicht,not
es,it
sich,oneself; itself
auch,also; too
auf,on; upon; at
für,for
an,at; on; to
er,he
so,so; thus
dass,that (conjunction)
dies,this; that
als,as; when; than
ihr,you (plural); her; their
ja,yes; indeed
wie,how; as; like
bei,at; by; with
oder,or
wir,we
aber,but; however
dann,then
man,one; you; people
da,there; since; as
sein (poss.),his; its
noch,still; yet
nach,after; to
was,what; which
also,so; thus
aus,out; from
alle,all; everyone
wenn,if; when
nur,only; just
müssen,must; to have to
um,around; about; at; in order to
über,over; about
kein,no; none; not any
Jahr,year
du,you 
mein,my; mine
schon,already; yet
vor,before; in front of; ago
durch,through
geben,to give
mehr,more
andere,other; another
viel,much; many
kommen,to come
jetzt,now
sollen,should; ought to
mir,me (dative)
wollen,to want
ganz,whole; entire; quite
immer,always
gehen,to go
sehr,very
hier,here
doch,however; still
bis,until
groß,big; large; great
wieder,again
Mal,time; occasion
zwei,two
gut,good; well
wissen,to know
neu,new
sehen,to see
lassen,to let; allow; have (something done)
uns,us; to us
weil,because
unter,under; beneath
denn,because; for
stehen,to stand
finden,to find
bleiben,to stay; remain
liegen,to lie; be situated
heißen,to be called
denken,to think
nehmen,to take
dürfen,may; to be allowed
glauben,to believe; to think
halten,to hold; to stop
nennen,to name; to call
mögen,to like; may
zeigen,to show
führen,to lead
bringen,to bring
fahren,to drive; to travel
essen,to eat
trinken,to drink
leben,to live
meinen,to mean; to think
fragen,to ask
arbeiten,to work
spielen,to play
laufen,to run; to walk
brauchen,to need
folgen,to follow
lernen,to learn
bestehen,to consist; to pass
verstehen,to understand
setzen,to set; to put; to place
erzählen,to tell; to narrate
versuchen,to try; to attempt
schreiben,to write
lesen,to read
bekommen,to receive; to get
beginnen,to begin
gefallen,to please; to like
vergessen,to forget
arbeiten,to work
scheinen,to seem; to shine
sitzen,to sit
schlafen,to sleep
verlieren,to lose
öffnen,to open
tragen,to carry; to wear
spielen,to play
laufen,to run; to walk
rufen,to call; to shout
schließen,to close
suchen,to search; to look for
erklären,to explain
gehören,to belong
entscheiden,to decide
bekannt,well-known; familiar
erreichen,to reach; to achieve
lesen,to read
helfen,to help
senden,to send
bauen,to build
fallen,to fall
bleiben,to stay
ändern,to change
vergehen,to elapse; to decay
schlagen,to hit; to beat
laufen,to run; to walk
tragen,to carry; to wear
ziehen,to pull; to move
schaffen,to create; to manage
verkaufen,to sell
spielen,to play
entwickeln,to develop
erinnern,to remind; to remember
studieren,to study
benutzen,to use
passen,to fit; to suit
erreichen,to reach
zeigen,to show
wohnen,to live; to reside
treffen,to meet
tragen,to carry; wear
ändern,to change
vergessen,to forget
bleiben,to stay
fühlen,to feel
fahren,to drive; travel
kaufen,to buy
bringen,to bring
laufen,to run
öffnen,to open
stellen,to place; to put
denken,to think
nehmen,to take
sagen,to say
hören,to hear
sprechen,to speak
gehen,to go
machen,to do; to make
kommen,to come
sehen,to see
wissen,to know
finden,to find
geben,to give
lassen,to let; allow
halten,to hold; stop
schreiben,to write
lesen,to read
leben,to live
arbeiten,to work
spielen,to play
laufen,to run
stehen,to stand
bleiben,to stay
setzen,to set; to put
legen,to lay; to put
bringen,to bring
fahren,to drive
laufen,to run
folgen,to follow
helfen,to help
laufen,to run
verlieren,to lose
suchen,to search
gewinnen,to win
ziehen,to pull
schaffen,to create; to manage
denken,to think
fühlen,to feel
laufen,to run
arbeiten,to work
sitzen,to sit
legen,to lay
stellen,to place
nehmen,to take
laufen,to walk
machen,to do
sehen,to see
essen,to eat
trinken,to drink
laufen,to run
spielen,to play
schlafen,to sleep
lernen,to learn
studieren,to study
arbeiten,to work
verstehen,to understand
vergessen,to forget
helfen,to help
schreiben,to write
lesen,to read
laufen,to run
reden,to talk
fragen,to ask
antworten,to answer
bekommen,to get
beginnen,to begin
enden,to end
starten,to start
können,to be able
müssen,must
wollen,to want
sollen,should
dürfen,may
mögen,to like
sein,to be
haben,to have
werden,to become
brauchen,to need
leben,to live
sterben,to die
geboren,to be born
denken,to think
glauben,to believe
wissen,to know
kennen,to know (be familiar)
verstehen,to understand
vergessen,to forget
erinnern,to remember
fühlen,to feel
sehen,to see
hören,to hear
riechen,to smell
schmecken,to taste
anfangen,to begin
aufhören,to stop
bleiben,to stay
gehen,to go
kommen,to come
laufen,to run
fahren,to drive
fliegen,to fly
fallen,to fall
stehen,to stand
sitzen,to sit
liegen,to lie
legen,to lay
setzen,to set
treffen,to meet
sprechen,to speak
schreiben,to write
lesen,to read
spielen,to play
arbeiten,to work
bauen,to build
kaufen,to buy
verkaufen,to sell
bezahlen,to pay
geben,to give
nehmen,to take
bringen,to bring
zeigen,to show
tragen,to carry
halten,to hold
öffnen,to open
schließen,to close
suchen,to search
finden,to find
verlieren,to lose
gewinnen,to win
schicken,to send
bekommen,to receive
